id,insee_code,name,start_datetime,end_datetime,successors,ancestors,population,insee_modification
01001@1942-01-01,01001,L'Abergement-Clémenciat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,767,0
01002@1942-01-01,01002,L'Abergement-de-Varey,1942-01-01 00:00:00,9999-12-31 23:59:59,,,236,0
01003@1942-01-01,01003,Amareins,1942-01-01 00:00:00,1973-12-31 23:59:59,01165@1974-01-01,,NULL,330
01004@1942-01-01,01004,Ambérieu,1942-01-01 00:00:00,1955-03-30 23:59:59,01004@1955-03-31,,NULL,100
01005@1942-01-01,01005,Ambérieux-en-Dombes,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1635,0
01006@1942-01-01,01006,Ambléon,1942-01-01 00:00:00,9999-12-31 23:59:59,,,108,0
01007@1942-01-01,01007,Ambronay,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2503,0
01008@1942-01-01,01008,Ambutrix,1942-01-01 00:00:00,9999-12-31 23:59:59,,,744,0
01009@1942-01-01,01009,Andert-et-Condon,1942-01-01 00:00:00,9999-12-31 23:59:59,,,337,0
01010@1942-01-01,01010,Anglefort,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1108,0
01011@1942-01-01,01011,Apremont,1942-01-01 00:00:00,9999-12-31 23:59:59,,,394,0
01012@1942-01-01,01012,Aranc,1942-01-01 00:00:00,9999-12-31 23:59:59,,,314,0
01013@1942-01-01,01013,Arandas,1942-01-01 00:00:00,9999-12-31 23:59:59,,,158,0
01014@1942-01-01,01014,Arbent,1942-01-01 00:00:00,9999-12-31 23:59:59,,,3410,0
01015@1942-01-01,01015,Arbignieu,1942-01-01 00:00:00,2015-12-31 23:59:59,01015@2016-01-01,,495,331
01016@1942-01-01,01016,Arbigny,1942-01-01 00:00:00,9999-12-31 23:59:59,,,427,0
01017@1942-01-01,01017,Argis,1942-01-01 00:00:00,9999-12-31 23:59:59,,,422,0
01018@1942-01-01,01018,Arlod,1942-01-01 00:00:00,1970-12-31 23:59:59,01033@1942-01-01,,NULL,310
01019@1942-01-01,01019,Armix,1942-01-01 00:00:00,9999-12-31 23:59:59,,,21,0
01020@1942-01-01,01020,Arnans,1942-01-01 00:00:00,1964-06-03 23:59:59,01125@1942-01-01,,NULL,310
01021@1942-01-01,01021,Ars,1942-01-01 00:00:00,1956-10-18 23:59:59,01021@1956-10-19,,NULL,100
01022@1942-01-01,01022,Artemare,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1175,0
01023@1942-01-01,01023,Asnières-sur-Saône,1942-01-01 00:00:00,9999-12-31 23:59:59,,,69,0
01024@1942-01-01,01024,Attignat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,3260,0
01025@1942-01-01,01025,Bâgé-la-Ville,1942-01-01 00:00:00,9999-12-31 23:59:59,,,3154,0
01026@1942-01-01,01026,Bâgé-le-Châtel,1942-01-01 00:00:00,9999-12-31 23:59:59,,,855,0
01027@1942-01-01,01027,Balan,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2828,0
01028@1942-01-01,01028,Baneins,1942-01-01 00:00:00,9999-12-31 23:59:59,,,573,0
01029@1942-01-01,01029,Beaupont,1942-01-01 00:00:00,9999-12-31 23:59:59,,,677,0
01030@1942-01-01,01030,Beauregard,1942-01-01 00:00:00,9999-12-31 23:59:59,,,876,0
01031@1942-01-01,01031,Bélignat,1942-01-01 00:00:00,1957-08-21 23:59:59,01031@1957-08-22,,NULL,100
01032@1942-01-01,01032,Béligneux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,3304,0
01033@1942-01-01,01033,Bellegarde,1942-01-01 00:00:00,1956-10-18 23:59:59,01033@1956-10-19,01018@1942-01-01,NULL,100
01034@1942-01-01,01034,Belley,1942-01-01 00:00:00,9999-12-31 23:59:59,,,8909,0
01035@1942-01-01,01035,Belleydoux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,327,0
01036@1942-01-01,01036,Belmont,1942-01-01 00:00:00,1974-10-31 23:59:59,01036@1974-11-01,,NULL,110
01037@1942-01-01,01037,Bénonces,1942-01-01 00:00:00,9999-12-31 23:59:59,,,276,0
01038@1942-01-01,01038,Bény,1942-01-01 00:00:00,9999-12-31 23:59:59,,,718,0
01039@1942-01-01,01039,Béon,1942-01-01 00:00:00,9999-12-31 23:59:59,,,457,0
01040@1942-01-01,01040,Béréziat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,470,0
01041@1942-01-01,01041,Bettant,1942-01-01 00:00:00,9999-12-31 23:59:59,,,746,0
01042@1942-01-01,01042,Bey,1942-01-01 00:00:00,9999-12-31 23:59:59,,,260,0
01043@1942-01-01,01043,Beynost,1942-01-01 00:00:00,9999-12-31 23:59:59,,,4534,0
01044@1942-01-01,01044,Billiat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,578,0
01045@1942-01-01,01045,Birieux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,280,0
01046@1942-01-01,01046,Biziat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,824,0
01047@1942-01-01,01047,Blyes,1942-01-01 00:00:00,9999-12-31 23:59:59,,,944,0
01048@1942-01-01,01048,Bohas,1942-01-01 00:00:00,1973-12-31 23:59:59,01245@1974-01-01,,NULL,330
01049@1942-01-01,01049,La Boisse,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2927,0
01050@1942-01-01,01050,Boissey,1942-01-01 00:00:00,9999-12-31 23:59:59,,,314,0
01051@1942-01-01,01051,Bolozon,1942-01-01 00:00:00,9999-12-31 23:59:59,,,90,0
01052@1942-01-01,01052,Bouligneux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,304,0
01053@1942-01-01,01053,Bourg,1942-01-01 00:00:00,1955-03-30 23:59:59,01053@1955-03-31,,NULL,100
01054@1942-01-01,01054,Bourg-Saint-Christophe,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1258,0
01055@1942-01-01,01055,Bouvent,1942-01-01 00:00:00,1972-12-31 23:59:59,01283@1942-01-01,,NULL,310
01056@1942-01-01,01056,Boyeux-Saint-Jérôme,1942-01-01 00:00:00,9999-12-31 23:59:59,,,365,0
01057@1942-01-01,01057,Boz,1942-01-01 00:00:00,9999-12-31 23:59:59,,,508,0
01058@1942-01-01,01058,Brégnier-Cordon,1942-01-01 00:00:00,9999-12-31 23:59:59,,,865,0
01059@1942-01-01,01059,Brénaz,1942-01-01 00:00:00,9999-12-31 23:59:59,,,91,0
01060@1942-01-01,01060,Brénod,1942-01-01 00:00:00,9999-12-31 23:59:59,,,550,0
01061@1942-01-01,01061,Brens,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1200,0
01062@1942-01-01,01062,Bressolles,1942-01-01 00:00:00,9999-12-31 23:59:59,,,812,0
01063@1942-01-01,01063,Brion,1942-01-01 00:00:00,9999-12-31 23:59:59,,,514,0
01064@1942-01-01,01064,Briord,1942-01-01 00:00:00,9999-12-31 23:59:59,,,946,0
01065@1942-01-01,01065,Buellas,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1734,0
01066@1942-01-01,01066,La Burbanche,1942-01-01 00:00:00,9999-12-31 23:59:59,,,72,0
01067@1942-01-01,01067,Ceignes,1942-01-01 00:00:00,9999-12-31 23:59:59,,,262,0
01068@1942-01-01,01068,Cerdon,1942-01-01 00:00:00,9999-12-31 23:59:59,,,749,0
01069@1942-01-01,01069,Certines,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1440,0
01070@1942-01-01,01070,Cesseins,1942-01-01 00:00:00,1973-12-31 23:59:59,01165@1974-01-01,,NULL,330
01071@1942-01-01,01071,Cessy,1942-01-01 00:00:00,9999-12-31 23:59:59,,,4524,0
01072@1942-01-01,01072,Ceyzériat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,3039,0
01073@1942-01-01,01073,Ceyzérieu,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1005,0
01074@1942-01-01,01074,Chalamont,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2409,0
01075@1942-01-01,01075,Chaleins,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1199,0
01076@1942-01-01,01076,Chaley,1942-01-01 00:00:00,9999-12-31 23:59:59,,,146,0
01077@1942-01-01,01077,Challes,1942-01-01 00:00:00,2006-07-08 23:59:59,01077@2006-07-09,,NULL,100
01078@1942-01-01,01078,Challex,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1385,0
01079@1942-01-01,01079,Champagne,1942-01-01 00:00:00,1956-10-18 23:59:59,01079@1956-10-19,,NULL,100
01080@1942-01-01,01080,Champdor,1942-01-01 00:00:00,2015-12-31 23:59:59,01080@2016-01-01,,452,331
