siren;nom;nature;fiscalite;ptot;pmun;pcap;nb_nom;insee;nom_com;ptot_com;pmun_com;pcap_com
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1024;Attignat;1959;1924;35
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1040;Béréziat;342;340;2
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1115;Confrançon;878;862;16
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1130;Cras-sur-Reyssouze;926;907;19
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1140;Curtafond;600;590;10
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1154;Etrez;648;642;6
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1163;Foissiat;1580;1562;18
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1196;Jayat;777;773;4
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1229;Malafretaz;681;674;7
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1236;Marsonnas;744;727;17
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1266;Montrevel-en-Bresse;2040;1994;46
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1346;Saint-Didier-d'Aussiat;675;666;9
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1375;Saint-Martin-le-Châtel;658;652;6
240100156;D.RURAL MONTREVEL;DISTRICT;4TX;12611;12416;195;14;1387;Saint-Sulpice;103;103;0
240100172;D.U D'OYONNAX;DISTRICT;4TX;34994;34028;966;6;1014;Arbent;3693;3610;83
240100172;D.U D'OYONNAX;DISTRICT;4TX;34994;34028;966;6;1031;Bellignat;3825;3485;340
240100172;D.U D'OYONNAX;DISTRICT;4TX;34994;34028;966;6;1171;Géovreisset;775;759;16
240100172;D.U D'OYONNAX;DISTRICT;4TX;34994;34028;966;6;1181;Groissiat;769;747;22
240100172;D.U D'OYONNAX;DISTRICT;4TX;34994;34028;966;6;1237;Martignat;1296;1265;31
240100172;D.U D'OYONNAX;DISTRICT;4TX;34994;34028;966;6;1283;Oyonnax;24636;24162;474
240100339;D.PLAINE DE BRESSE;DISTRICT;4TX;5061;5004;57;12;1124;Cormoz;515;512;3
240100339;D.PLAINE DE BRESSE;DISTRICT;4TX;5061;5004;57;12;1128;Courtes;219;218;1
240100339;D.PLAINE DE BRESSE;DISTRICT;4TX;5061;5004;57;12;1139;Curciat-Dongalon;407;404;3
240100339;D.PLAINE DE BRESSE;DISTRICT;4TX;5061;5004;57;12;1212;Lescheroux;603;597;6
240100339;D.PLAINE DE BRESSE;DISTRICT;4TX;5061;5004;57;12;1230;Mantenay-Montlin;250;246;4
240100339;D.PLAINE DE BRESSE;DISTRICT;4TX;5061;5004;57;12;1364;Saint-Jean-sur-Reyssouze;585;579;6
240100339;D.PLAINE DE BRESSE;DISTRICT;4TX;5061;5004;57;12;1367;Saint-Julien-sur-Reyssouze;522;514;8
240100339;D.PLAINE DE BRESSE;DISTRICT;4TX;5061;5004;57;12;1380;Saint-Nizier-le-Bouchoux;553;546;7
240100339;D.PLAINE DE BRESSE;DISTRICT;4TX;5061;5004;57;12;1388;Saint-Trivier-de-Courtes;950;935;15
240100339;D.PLAINE DE BRESSE;DISTRICT;4TX;5061;5004;57;12;1406;Servignat;136;135;1
240100339;D.PLAINE DE BRESSE;DISTRICT;4TX;5061;5004;57;12;1433;Vernoux;130;127;3
240100339;D.PLAINE DE BRESSE;DISTRICT;4TX;5061;5004;57;12;1437;Vescours;191;191;0
240100347;D.RHONE ET GLAND;DISTRICT;4TX;1912;1889;23;6;1058;Brégnier-Cordon;570;566;4
240100347;D.RHONE ET GLAND;DISTRICT;4TX;1912;1889;23;6;1110;Colomieu;130;128;2
240100347;D.RHONE ET GLAND;DISTRICT;4TX;1912;1889;23;6;1182;Groslée;340;333;7
240100347;D.RHONE ET GLAND;DISTRICT;4TX;1912;1889;23;6;1193;Izieu;181;178;3
240100347;D.RHONE ET GLAND;DISTRICT;4TX;1912;1889;23;6;1338;Saint-Benoît;588;582;6
240100347;D.RHONE ET GLAND;DISTRICT;4TX;1912;1889;23;6;1340;Saint-Bois;103;102;1
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1006;Ambléon;86;86;0
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1009;Andert-et-Condon;279;275;4
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1015;Arbignieu;435;431;4
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1034;Belley;8473;7999;474
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1061;Brens;746;731;15
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1098;Chazey-Bons;671;664;7
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1116;Contrevoz;446;430;16
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1117;Conzieu;103;100;3
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1133;Cressin-Rochefort;312;308;4
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1162;Flaxieu;50;50;0
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1227;Magnieu;297;291;6
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1234;Marignieu;156;156;0
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1239;Massignieu-de-Rives;505;498;7
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1268;Murs-et-Gélignieux;207;204;3
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1271;Nattages;398;393;5
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1286;Parves;321;320;1
240100354;D.BELLEY-BAS BUGEY;DISTRICT;4TX;15773;15115;658;23;1294;Peyrieu;728;644;84
