siren;nom;nature;fiscalite;ptot;pmun;pcap;nb_com;insee;nom_com;ptot_com;pmun_com;pcap_com
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1387;SAINT-SULPICE;103;103;0
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1040;BEREZIAT;342;340;2
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1140;CURTAFOND;600;590;10
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1154;ETREZ;648;642;6
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1375;SAINT-MARTIN-LE-CHATEL;658;652;6
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1346;SAINT-DIDIER-D'AUSSIAT;675;666;9
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1229;MALAFRETAZ;681;674;7
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1236;MARSONNAS;744;727;17
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1196;JAYAT;777;773;4
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1115;CONFRANCON;878;862;16
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1130;CRAS-SUR-REYSSOUZE;926;907;19
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1163;FOISSIAT;1580;1562;18
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1024;ATTIGNAT;1959;1924;35
240100156;CC DE MONTREVEL EN BRESSE;CC;4TX;12611;12416;195;14;1266;MONTREVEL-EN-BRESSE;2040;1994;46
240100172;CC D'OYONNAX;CC;TPU;34994;34028;966;6;1181;GROISSIAT;769;747;22
240100172;CC D'OYONNAX;CC;TPU;34994;34028;966;6;1171;GEOVREISSET;775;759;16
240100172;CC D'OYONNAX;CC;TPU;34994;34028;966;6;1237;MARTIGNAT;1296;1265;31
240100172;CC D'OYONNAX;CC;TPU;34994;34028;966;6;1031;BELLIGNAT;3825;3485;340
240100172;CC D'OYONNAX;CC;TPU;34994;34028;966;6;1014;ARBENT;3693;3610;83
240100172;CC D'OYONNAX;CC;TPU;34994;34028;966;6;1283;OYONNAX;24636;24162;474
240100339;CC DU CANTON DE SAINT DE TRIVIER DE COURTES;CC;4TX;5061;5004;57;12;1433;VERNOUX;130;127;3
240100339;CC DU CANTON DE SAINT DE TRIVIER DE COURTES;CC;4TX;5061;5004;57;12;1406;SERVIGNAT;136;135;1
240100339;CC DU CANTON DE SAINT DE TRIVIER DE COURTES;CC;4TX;5061;5004;57;12;1437;VESCOURS;191;191;0
240100339;CC DU CANTON DE SAINT DE TRIVIER DE COURTES;CC;4TX;5061;5004;57;12;1128;COURTES;219;218;1
240100339;CC DU CANTON DE SAINT DE TRIVIER DE COURTES;CC;4TX;5061;5004;57;12;1230;MANTENAY-MONTLIN;250;246;4
240100339;CC DU CANTON DE SAINT DE TRIVIER DE COURTES;CC;4TX;5061;5004;57;12;1139;CURCIAT-DONGALON;407;404;3
240100339;CC DU CANTON DE SAINT DE TRIVIER DE COURTES;CC;4TX;5061;5004;57;12;1124;CORMOZ;515;512;3
240100339;CC DU CANTON DE SAINT DE TRIVIER DE COURTES;CC;4TX;5061;5004;57;12;1367;SAINT-JULIEN-SUR-REYSSOUZE;522;514;8
240100339;CC DU CANTON DE SAINT DE TRIVIER DE COURTES;CC;4TX;5061;5004;57;12;1380;SAINT-NIZIER-LE-BOUCHOUX;553;546;7
240100339;CC DU CANTON DE SAINT DE TRIVIER DE COURTES;CC;4TX;5061;5004;57;12;1364;SAINT-JEAN-SUR-REYSSOUZE;585;579;6
240100339;CC DU CANTON DE SAINT DE TRIVIER DE COURTES;CC;4TX;5061;5004;57;12;1212;LESCHEROUX;603;597;6
240100339;CC DU CANTON DE SAINT DE TRIVIER DE COURTES;CC;4TX;5061;5004;57;12;1388;SAINT-TRIVIER-DE-COURTES;950;935;15
240100347;CC RHONE ET GLAND;CC;4TX;1912;1889;23;6;1340;SAINT-BOIS;103;102;1
240100347;CC RHONE ET GLAND;CC;4TX;1912;1889;23;6;1110;COLOMIEU;130;128;2
240100347;CC RHONE ET GLAND;CC;4TX;1912;1889;23;6;1193;IZIEU;181;178;3
240100347;CC RHONE ET GLAND;CC;4TX;1912;1889;23;6;1182;GROSLEE;340;333;7
240100347;CC RHONE ET GLAND;CC;4TX;1912;1889;23;6;1058;BREGNIER-CORDON;570;566;4
240100347;CC RHONE ET GLAND;CC;4TX;1912;1889;23;6;1338;SAINT-BENOIT;588;582;6
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1162;FLAXIEU;50;50;0
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1006;AMBLEON;86;86;0
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1456;VONGNES;94;89;5
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1117;CONZIEU;103;100;3
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1302;POLLIEU;123;122;1
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1341;SAINT-CHAMP;137;132;5
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1234;MARIGNIEU;156;156;0
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1268;MURS-ET-GELIGNIEUX;207;204;3
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1310;PREMEYZEL;246;242;4
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1009;ANDERT-ET-CONDON;279;275;4
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1227;MAGNIEU;297;291;6
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1358;SAINT-GERMAIN-LES-PAROISSES;309;307;2
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1133;CRESSIN-ROCHEFORT;312;308;4
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1286;PARVES;321;320;1
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1271;NATTAGES;398;393;5
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1116;CONTREVOZ;446;430;16
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1015;ARBIGNIEU;435;431;4
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1239;MASSIGNIEU-DE-RIVES;505;498;7
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1454;VIRIGNIN;651;643;8
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1294;PEYRIEU;728;644;84
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1098;CHAZEY-BONS;671;664;7
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1061;BRENS;746;731;15
240100354;CC BELLEY-BAS BUGEY;CC;4TX;15773;15115;658;23;1034;BELLEY;8473;7999;474
240100370;CC DU VALROMEY;CC;4TX;3592;3513;79;11;1218;LOCHIEU;73;73;0
240100370;CC DU VALROMEY;CC;4TX;3592;3513;79;11;1059;BRENAZ;105;105;0
240100370;CC DU VALROMEY;CC;4TX;3592;3513;79;11;1292;PETIT-ABERGEMENT;144;141;3
240100370;CC DU VALROMEY;CC;4TX;3592;3513;79;11;1097;CHAVORNAY;180;174;6
240100370;CC DU VALROMEY;CC;4TX;3592;3513;79;11;1330;RUFFIEU;191;188;3
240100370;CC DU VALROMEY;CC;4TX;3592;3513;79;11;1414;SUTRIEU;223;218;5
240100370;CC DU VALROMEY;CC;4TX;3592;3513;79;11;1453;VIRIEU-LE-PETIT;285;281;4
240100370;CC DU VALROMEY;CC;4TX;3592;3513;79;11;1187;HOTONNES;299;295;4
240100370;CC DU VALROMEY;CC;4TX;3592;3513;79;11;1036;BELMONT-LUTHEZIEU;405;394;11
240100370;CC DU VALROMEY;CC;4TX;3592;3513;79;11;1079;CHAMPAGNE-EN-VALROMEY;685;674;11
240100370;CC DU VALROMEY;CC;4TX;3592;3513;79;11;1022;ARTEMARE;1002;970;32
240100396;CC DE LA VALLE DE L'ALBARINE;CC;4TX;5019;4949;70;12;1186;HOSTIAS;62;62;0
240100396;CC DE LA VALLE DE L'ALBARINE;CC;4TX;5019;4949;70;12;1111;CONAND;72;69;3
240100396;CC DE LA VALLE DE L'ALBARINE;CC;4TX;5019;4949;70;12;1279;ONCIEU;78;78;0
240100396;CC DE LA VALLE DE L'ALBARINE;CC;4TX;5019;4949;70;12;1277;NIVOLLET-MONTGRIFFON;88;87;1
240100396;CC DE LA VALLE DE L'ALBARINE;CC;4TX;5019;4949;70;12;1076;CHALEY;107;106;1
240100396;CC DE LA VALLE DE L'ALBARINE;CC;4TX;5019;4949;70;12;1155;EVOSGES;109;109;0
240100396;CC DE LA VALLE DE L'ALBARINE;CC;4TX;5019;4949;70;12;1107;CLEYZIEU;119;116;3
240100396;CC DE LA VALLE DE L'ALBARINE;CC;4TX;5019;4949;70;12;1013;ARANDAS;141;135;6
240100396;CC DE LA VALLE DE L'ALBARINE;CC;4TX;5019;4949;70;12;1017;ARGIS;403;390;13
240100396;CC DE LA VALLE DE L'ALBARINE;CC;4TX;5019;4949;70;12;1421;TORCIEU;655;646;9
240100396;CC DE LA VALLE DE L'ALBARINE;CC;4TX;5019;4949;70;12;1416;TENAY;1095;1086;9
240100396;CC DE LA VALLE DE L'ALBARINE;CC;4TX;5019;4949;70;12;1384;SAINT-RAMBERT-EN-BUGEY;2090;2065;25
240100412;CC RHONE-CHARTRTEUSE DE PORTE;CC;4TX;3662;3581;81;10;1190;INNIMOND;95;95;0
240100412;CC RHONE-CHARTRTEUSE DE PORTE;CC;4TX;3662;3581;81;10;1233;MARCHAMP;108;108;0
240100412;CC RHONE-CHARTRTEUSE DE PORTE;CC;4TX;3662;3581;81;10;1280;ORDONNAZ;121;120;1
240100412;CC RHONE-CHARTRTEUSE DE PORTE;CC;4TX;3662;3581;81;10;1400;SEILLONNAZ;126;123;3
240100412;CC RHONE-CHARTRTEUSE DE PORTE;CC;4TX;3662;3581;81;10;1219;LOMPNAS;150;147;3
240100412;CC RHONE-CHARTRTEUSE DE PORTE;CC;4TX;3662;3581;81;10;1037;BENONCES;248;243;5
240100412;CC RHONE-CHARTRTEUSE DE PORTE;CC;4TX;3662;3581;81;10;1255;MONTAGNIEU;397;386;11
240100412;CC RHONE-CHARTRTEUSE DE PORTE;CC;4TX;3662;3581;81;10;1064;BRIORD;692;675;17
240100412;CC RHONE-CHARTRTEUSE DE PORTE;CC;4TX;3662;3581;81;10;1216;LHUIS;742;724;18
240100412;CC RHONE-CHARTRTEUSE DE PORTE;CC;4TX;3662;3581;81;10;1403;SERRIERES-DE-BRIORD;983;960;23
240100438;CC DU COLOMBIER;CC;4TX;3994;3917;77;4;1208;LAVOURS;117;117;0
240100438;CC DU COLOMBIER;CC;4TX;3994;3917;77;4;1039;BEON;373;364;9
240100438;CC DU COLOMBIER;CC;4TX;3994;3917;77;4;1073;CEYZERIEU;824;814;10
240100438;CC DU COLOMBIER;CC;4TX;3994;3917;77;4;1138;CULOZ;2680;2622;58
240100578;CC DU PLATEAU D'HAUTEVILLE;CC;4TX;5949;5714;235;8;1311;PREMILLIEU;36;33;3
240100578;CC DU PLATEAU D'HAUTEVILLE;CC;4TX;5949;5714;235;8;1121;CORLIER;75;73;2
240100578;CC DU PLATEAU D'HAUTEVILLE;CC;4TX;5949;5714;235;8;1119;CORCELLES;227;221;6
240100578;CC DU PLATEAU D'HAUTEVILLE;CC;4TX;5949;5714;235;8;1012;ARANC;283;275;8
