siren;nom;nature;fiscalite;ptot;pmun;pcap;nb_com;insee;nom_com;ptot_com;pmun_com
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57432; Maizery;156;153
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57563; Raville;236;234
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57431; Maizeroy;313;308
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57145; Coincy;321;310
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57148; Colligny;313;311
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57656; Sorbey;338;327
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57627; Sanry-sur-Nied;335;331
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57648; Servigny-lès-Raville;356;352
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57449; Marsilly;430;422
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57055; Bazoncourt;493;476
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57523; Ogy;581;573
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57654; Silly-sur-Nied;723;708
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57533; Pange;887;865
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57156; Courcelles-sur-Nied;951;930
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57482; Montoy-Flanville;1206;1193
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57575; Retonfey;1356;1329
200000164;CC du Pays de Pange;CC;4TX;12038;11679;359;17;57155; Courcelles-Chaussy;3043;2857
200000172;CC Faucigny-Glières;CC;TPU;17475;16943;532;6;74049; Brizon;447;441
200000172;CC Faucigny-Glières;CC;TPU;17475;16943;532;6;74212;Le Petit-Bornand-les-Glières;1067;1054
200000172;CC Faucigny-Glières;CC;TPU;17475;16943;532;6;74312; Vougy;1346;1317
200000172;CC Faucigny-Glières;CC;TPU;17475;16943;532;6;74087; Contamine-sur-Arve;1642;1512
200000172;CC Faucigny-Glières;CC;TPU;17475;16943;532;6;74024; Ayse;1977;1928
200000172;CC Faucigny-Glières;CC;TPU;17475;16943;532;6;74042; Bonneville;10996;10691
200000321;CA des deux Rives de la Seine;CA;TPU;64746;63869;877;6;78140; Chapet;1187;1177
200000321;CA des deux Rives de la Seine;CA;TPU;64746;63869;877;6;78138; Chanteloup-les-Vignes;8980;8924
200000321;CA des deux Rives de la Seine;CA;TPU;64746;63869;877;6;78624; Triel-sur-Seine;12023;11834
200000321;CA des deux Rives de la Seine;CA;TPU;64746;63869;877;6;78015; Andrésy;12717;12558
200000321;CA des deux Rives de la Seine;CA;TPU;64746;63869;877;6;78123; Carrières-sous-Poissy;14106;13968
200000321;CA des deux Rives de la Seine;CA;TPU;64746;63869;877;6;78642; Verneuil-sur-Seine;15733;15408
200000339;CC des Coteaux de seine;CC;4TX;37543;36854;689;3;78350; Louveciennes;7404;7234
200000339;CC des Coteaux de seine;CC;4TX;37543;36854;689;3;78092; Bougival;8532;8418
200000339;CC des Coteaux de seine;CC;4TX;37543;36854;689;3;78126;La Celle-Saint-Cloud;21607;21202
200000354;CC de la Louge et du Touch;CC;TPU;4640;4550;90;14;31428; Polastron;64;60
200000354;CC de la Louge et du Touch;CC;TPU;4640;4550;90;14;31204; Fustignac;71;70
