siren;nom;nature;fiscalite;nb_com;ptot;pmun;insee;nom_com;ptot_com;pmun_com
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57432;Maizery;189;186
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57563;Raville;250;248
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57155;Courcelles-Chaussy;3211;3008
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57156;Courcelles-sur-Nied;995;974
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57575;Retonfey;1361;1330
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57145;Coincy;312;308
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57148;Colligny;314;312
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57533;Pange;929;912
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57431;Maizeroy;328;324
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57523;Ogy;585;576
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57654;Silly-sur-Nied;702;686
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57656;Sorbey;338;328
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57627;Sanry-sur-Nied;329;324
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57482;Montoy-Flanville;1160;1137
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57648;Servigny-lès-Raville;367;363
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57449;Marsilly;500;487
200000164;CC du Pays de Pange;CC;FA;17;12373;11995;57055;Bazoncourt;503;492
200000172;CC Faucigny-Glières;CC;FPU;7;25424;24593;74087;Contamine-sur-Arve;1729;1586
200000172;CC Faucigny-Glières;CC;FPU;7;25424;24593;74212;Le Petit-Bornand-les-Glières;1129;1112
200000172;CC Faucigny-Glières;CC;FPU;7;25424;24593;74049;Brizon;450;443
200000172;CC Faucigny-Glières;CC;FPU;7;25424;24593;74312;Vougy;1483;1451
200000172;CC Faucigny-Glières;CC;FPU;7;25424;24593;74024;Ayse;2031;1979
200000172;CC Faucigny-Glières;CC;FPU;7;25424;24593;74042;Bonneville;12278;11874
200000172;CC Faucigny-Glières;CC;FPU;7;25424;24593;74164;Marignier;6324;6148
200000321;CA des deux Rives de la Seine;CA;FPU;12;91619;90107;78140;Chapet;1206;1194
200000321;CA des deux Rives de la Seine;CA;FPU;12;91619;90107;78010;Les Alluets-le-Roi;1225;1196
200000321;CA des deux Rives de la Seine;CA;FPU;12;91619;90107;78015;Andrésy;12374;12242
200000321;CA des deux Rives de la Seine;CA;FPU;12;91619;90107;78138;Chanteloup-les-Vignes;9569;9475
200000321;CA des deux Rives de la Seine;CA;FPU;12;91619;90107;78123;Carrières-sous-Poissy;15148;15004
200000321;CA des deux Rives de la Seine;CA;FPU;12;91619;90107;78384;Médan;1507;1476
200000321;CA des deux Rives de la Seine;CA;FPU;12;91619;90107;78431;Morainvilliers;2455;2400
200000321;CA des deux Rives de la Seine;CA;FPU;12;91619;90107;78466;Orgeval;5972;5841
200000321;CA des deux Rives de la Seine;CA;FPU;12;91619;90107;78624;Triel-sur-Seine;11834;11637
200000321;CA des deux Rives de la Seine;CA;FPU;12;91619;90107;78642;Verneuil-sur-Seine;15547;15174
200000321;CA des deux Rives de la Seine;CA;FPU;12;91619;90107;78643;Vernouillet;9580;9398
200000321;CA des deux Rives de la Seine;CA;FPU;12;91619;90107;78672;Villennes-sur-Seine;5202;5070
200000339;CC des Coteaux de Seine;CC;FA;3;37209;36533;78350;Louveciennes;7434;7270
200000339;CC des Coteaux de Seine;CC;FA;3;37209;36533;78092;Bougival;8530;8419
